t_i,estKM,lwrCI,uprCI,Tract
0.00062723,0.01,0.01,0.01,11001000100
0.024429759,0.01,0.01,0.01,11001000100
0.030028078,0.01,0.01,0.01,11001000100
0.046356949,0.02,0.01,0.01,11001000100
0.054625787,0.02,0.01,0.02,11001000100
0.072894144,0.03,0.02,0.02,11001000100
0.086498924,0.03,0.02,0.03,11001000100
0.091725555,0.03,0.02,0.03,11001000100
0.108528699,0.03,0.02,0.03,11001000100
0.114412808,0.03,0.03,0.03,11001000100
0.119907811,0.03,0.03,0.03,11001000100
0.140758011,0.03,0.03,0.04,11001000100
0.143219923,0.03,0.03,0.04,11001000100
0.144860045,0.04,0.04,0.04,11001000100
0.173094892,0.04,0.04,0.04,11001000100
0.18195639,0.04,0.04,0.04,11001000100
0.184876597,0.04,0.05,0.04,11001000100
0.213851367,0.04,0.05,0.05,11001000100
0.217676434,0.04,0.06,0.05,11001000100
0.221099785,0.04,0.06,0.05,11001000100
0.2574884,0.04,0.07,0.05,11001000100
0.26432585,0.05,0.08,0.05,11001000100
0.267702386,0.05,0.08,0.06,11001000100
0.282531269,0.05,0.09,0.06,11001000100
0.287982194,0.06,0.09,0.06,11001000100
0.298236802,0.06,0.09,0.06,11001000100
0.302972587,0.07,0.09,0.06,11001000100
0.33783927,0.07,0.1,0.06,11001000100
0.370484721,0.08,0.1,0.07,11001000100
0.371313973,0.08,0.1,0.07,11001000100
0.391640093,0.08,0.11,0.07,11001000100
0.413409094,0.09,0.12,0.08,11001000100
0.530547746,0.09,0.12,0.08,11001000100
0.576255547,0.09,0.13,0.09,11001000100
0.593587634,0.09,0.14,0.09,11001000100
0.59883552,0.09,0.15,0.09,11001000100
0.636357826,0.09,0.16,0.1,11001000100
0.655345478,0.09,0.16,0.1,11001000100
0.712805815,0.1,0.17,0.1,11001000100
0.714143209,0.1,0.18,0.1,11001000100
0.737239458,0.1,0.19,0.11,11001000100
0.739355599,0.1,0.2,0.11,11001000100
0.751150917,0.1,0.21,0.11,11001000100
0.782780129,0.1,0.21,0.11,11001000100
0.798785279,0.1,0.22,0.12,11001000100
0.802805738,0.1,0.22,0.12,11001000100
0.835020588,0.1,0.22,0.12,11001000100
0.848971811,0.11,0.23,0.12,11001000100
0.875223461,0.11,0.23,0.13,11001000100
0.87760776,0.11,0.23,0.13,11001000100
0.999019361,0.11,0.23,0.14,11001000100
1.024343812,0.11,0.23,0.15,11001000100
1.024427231,0.12,0.23,0.15,11001000100
1.064352374,0.12,0.24,0.15,11001000100
1.066541597,0.13,0.24,0.15,11001000100
1.086438232,0.13,0.24,0.16,11001000100
1.122116423,0.14,0.24,0.16,11001000100
1.12769038,0.14,0.25,0.16,11001000100
1.142032521,0.15,0.26,0.16,11001000100
1.144625313,0.15,0.26,0.16,11001000100
1.1503485,0.15,0.26,0.17,11001000100
1.163970634,0.15,0.26,0.17,11001000100
1.171132759,0.15,0.27,0.18,11001000100
1.246676932,0.15,0.27,0.18,11001000100
1.350329527,0.15,0.27,0.18,11001000100
1.390713241,0.16,0.27,0.19,11001000100
1.407463465,0.16,0.28,0.19,11001000100
1.410288936,0.16,0.28,0.19,11001000100
1.413943241,0.16,0.28,0.2,11001000100
1.420480321,0.16,0.28,0.2,11001000100
1.436518983,0.16,0.28,0.2,11001000100
1.475525774,0.16,0.29,0.2,11001000100
1.543825799,0.17,0.29,0.21,11001000100
1.546166752,0.17,0.29,0.21,11001000100
1.567560494,0.17,0.29,0.21,11001000100
1.575070167,0.17,0.3,0.22,11001000100
1.661568921,0.17,0.31,0.22,11001000100
1.664535036,0.18,0.32,0.23,11001000100
