t_i,estKM,lwrCI,uprCI
1,0.980769231,0.944143197,1
3,0.942307692,0.881019068,1
4,0.923076923,0.853419498,0.998419896
10,0.903846154,0.827168478,0.987631772
13,0.865384615,0.777415871,0.963307492
16,0.826923077,0.730234131,0.936414427
24,0.807692308,0.707372418,0.922239612
26,0.788461538,0.684918893,0.907657248
27,0.769230769,0.662831668,0.892709273
28,0.75,0.641077593,0.877428889
30,0.711538462,0.59846717,0.845972858
32,0.692307692,0.577571223,0.829836948
41,0.673076923,0.556927357,0.813449975
51,0.653846154,0.536523261,0.79682434
65,0.634032634,0.515607311,0.779658031
67,0.614219114,0.494939208,0.762245371
70,0.594405594,0.474510068,0.744595393
72,0.574592075,0.454312662,0.726715497
73,0.554778555,0.434341208,0.708611661
77,0.534231201,0.413705673,0.689869622
91,0.506113769,0.383750171,0.667494549
93,0.477996338,0.354608464,0.644317668
96,0.448121567,0.324011379,0.619771254
100,0.416112883,0.291667399,0.593655418
104,0.38143681,0.257179656,0.565729194
157,0.305149448,0.169246891,0.55017959
167,0.228862086,0.101096269,0.518098785
